"Kod";"Stav"
"DPPBM8650-R52C";1
"DPPBM8650-R52D";1
"DPPBM8650-R52F";1
"DPPBM8650-R53C";1
"DPPBM8650-R54C";1
"DPPBM8650-R54G";1
"DPPBM8650-R56G";1
"DPPBX6535-D04A";1
"DPPBX6535-D04B";1
"DPPBX6535-D04F";1
"DPPBX6535-D04G";1
"DPPBX6535-D05A";1
"DPPBX6535-D05B";1
"DPPBX6535-D05C";1
"DPPBX6535-D05D";1
"DPPBX6535-D05E";1
"DPPBX6535-D05F";1
"DPPBX6535-D05G";1
"DPPBX6535-D06A";1
"DPPBX6535-D06B";1
"DPPBX6535-D06C";1
"DPPBX6535-D06D";1
"DPPBX6535-D06E";1
"DPPBX6535-D06F";1
"DPPBX6535-D06G";1
"DPPBX6535-D07A";1
"DPPBX6535-D07B";1
"DPPBX6535-D07C";1
"DPPBX6535-D07D";1
"DPPBX6535-D07E";1
"DPPBX6535-D07F";1
"DPPBX6535-D07G";1
"DPPBX6535-D08C";1
"DPPBX6535-D54A";1
"DPPBX6535-D54F";1
"DPPBX6535-D54G";1
"DPPBX6535-D55A";1
"DPPBX6535-D55C";1
"DPPBX6535-D55D";1
"DPPBX6535-D55F";1
"DPPBX6535-D55G";1
"DPPBX6535-D56A";1
"DPPBX6535-D56C";1
"DPPBX6535-D56D";1
"DPPBX6535-D56F";1
"DPPBX6535-D56G";1
"DPPBX6535-D57A";1
"DPPBX6535-D57C";1
"DPPBX6535-D57D";1
"DPPBX6535-D57F";1
"DPPBX6535-D57G";1
"DPPBX6535-DAA";0
"DPPBX6535-F55AY";0
"DPPBX6535-R06C";0
"DPPBX6535-R07C";0
"DPPBX6535-R55A";0
"DPPBX6535-RAA";0
"DPPBX8540-R04G";0
"DPPBX8540-R07E";0
"DPPBX8540-R55D";0
"DPPBX8540-R55G";0
"DPPBX8540-R56C";0
"DPPBX8540-R56D";0
"DPPBX8540-R57F";0
"DPPBX8540-RAA";0
"DPPC1618-370A";1
"DPPC6518-021";1
"DPPC6518-258";1
"DPPC6618-505";1
"DPPCC1518A";0
"DPPCC1618A";0
"DPPCC6518A";1
"DPPCC6618A";0
"DPPCC8622A";1
"DPPF420-135A";1
"DPPF420-136A";1
"DPPF420-138A";1
"DPPF450-301";1
"DPPF450-533B";1
"DPPF704-575";1
"DPPFB2525-1568";1
"DPPFB3525-301";1
"DPPFM650-101BA";1
"DPPFM650-102BA";0
"DPPFM650-137B";0
"DPPFM650-139B";0
"DPPFM650-140B";0
"DPPFM650-149A01BA";0
"DPPFM650-149A02BA";0
"DPPFM650-149A03BA";0
"DPPFM650-149A04BA";0
"DPPFM650-301";1
"DPPFM6543-141";1
"DPPFM6543-533B";1
"DPPFV6530-319";1
"DPPFV6530-3201";1
"DPPFV7530-061";1
"DPPFV7530-786";0
"DPPFX5535-301";1
"DPPFX5535-301A";1
"DPPFX5535-533";1
"DPPGC26-252A";1
"DPPL8650-938";1
"DPPLM6543-024B";1
"DPPLM6543D-002A";0
"DPPLTBS-28A";0
"DPPLTBS-627A";0
"DPPLV6530-207";1
"DPPLX4525D-001A";1
"DPPMP20-001KC";0
"DPPMP20-199LAN";1
"DPPMP20-199RAN";1
"DPPMP23-001KC";1
"DPPMP23-199LAN";1
"DPPMP23-199RAN";1
"DPPMP26-001KC";0
"DPPMP26-040BN";1
"DPPMP26-041B";1
"DPPMP26-043";1
"DPPMP26-12A";1
"DPPMP26-12B";1
"DPPMP26-12C";0
"DPPMP26-12D";1
"DPPMP26-12E";1
"DPPMP26-12F";0
"DPPMP26-12G";1
"DPPMP26-199LAN";1
"DPPMP26-199RAN";1
"DPPMP26-252A";0
"DPPMP26-610A";1
"DPPMP26-610B";1
"DPPMP26-610C";1
"DPPMP26-610D";0
"DPPMP26-610E";0
"DPPMP26-610F";1
"DPPMP26-610G";1
"DPPMP26-620";1
"DPPMP26-640";1
"DPPMP26-785";1
"DPPMP29-001KC";0
"DPPMP29-199LAN";1
"DPPMP29-199RAN";1
"DPPMP32-001KC";1
"DPPMP32-199LAN";1
"DPPMP32-199RAN";1
"DPPMT20-199LAN";1
"DPPMT20-199RAN";1
"DPPMT23-199LAN";0
"DPPMT23-199RAN";1
"DPPMT26-011LKCK";1
"DPPMT26-011RKCK";1
"DPPMT26-014";1
"DPPMT26-023";1
"DPPMT26-023A";1
"DPPMT26-077";1
"DPPMT26-078";1
"DPPMT26-079";1
"DPPMT26-080";0
"DPPMT26-125";1
"DPPMT26-199LAN";0
"DPPMT26-199RAN";1
"DPPMT26-252A";1
"DPPMT26-345";1
"DPPMT26-362KL";1
"DPPMT26-550";1
"DPPMT26-560";1
"DPPMT26-565";1
"DPPMT26-620";1
"DPPMT26-650";1
"DPPMT29-199LAN";1
"DPPMT29-199RAN";1
"DPPMT32-199LAN";1
"DPPMT32-199RAN";1
"DPPMV6530-256A";1
"DPPMV7530-257A";0
"DPPNH080006512";1
"DPPNW060006030";1
"DPPRC-2200-RS";1
"DPPRC-2500-RS";1
"DPPRC-2800-RS";1
"DPPRC-3100-RS";1
"DPPRC-3400-RS";1
"DPPRM5533-A01B";0
"DPPRX2525-A01B";1
"DPPRX5535-A01B";1
"DPPRX6535-A01B";0
"DPPSCPTML0013";1
"DPPSFB32-655BA";1
"DPPSG0800400H";1
"DPPSS32-505A";1
"DPPSS32-938S";1
"DPPT500-B05AB";0
"DPPT500-B05BB";0
"DPPT500-B05CB";0
"DPPT500-B05D";0
"DPPT500-B05EB";0
"DPPT500-B05FB";0
"DPPT500-B05GB";0
"DPPT500-B06CB";0
"DPPT500-B06DB";0
"DPPT500-B06EB";0
"DPPT500-B06FB";0
"DPPT500-B55AB";0
"DPPT500-B55CB";0
"DPPT500-B55DB";0
"DPPT500-B55F";0
"DPPT500-B55GB";0
"DPPT500-B56CB";0
"DPPT500-B56DB";0
"DPPT608-B05AC";0
"DPPT608-B05BC";0
"DPPT608-B05CC";0
"DPPT608-B05DC";0
"DPPT608-B05EB";0
"DPPT608-B05EC";0
"DPPT608-B05FC";1
"DPPT608-B05GC";0
"DPPT608-B06CC";0
"DPPT608-B06DC";0
"DPPT608-B06EC";0
"DPPT608-B06FC";0
"DPPT608-B55AC";0
"DPPT608-B55CC";0
"DPPT608-B55DC";0
"DPPT608-B55FC";0
"DPPT608-B55GC";0
"DPPT608-B56CC";0
"DPPT608-B56DC";0
"DPPTC6518-BA";1
"DPPTI-2200-00";1
"DPPTI-2500-00";1
"DPPTI-2800-00";1
"DPPTI-3100-00";1
"DPPTI-3400-00";1
"DPPV-PPA08-MH";0
"DPPWS10506312";1
"DPSF0400080";1
"DPSF0600450H";1
"DPSF0600640HCS";1
"DPSY0300280V";1
"DPWS07504212";1
"DPWS14008220";0
"FGBILGH3TS";0
"FGBILM3TS";0
"FGBILMBK";0
"FGBILMHCS";0
"FGBMJ2ROLW";1
"FGBMJ2RTBS";0
"FGBOSMAWH";0
"FGBOSMBK";0
"FGBOSMCS";0
"FGBOSMTBS";0
"FGBSTHSSRMBU";0
"FGBSTMBK";1
"FGBSTMOLW";0
"FGBSTR3TS";0
"FGBTLHSRSLM";0
"FGBTLMBS";0
"FGBTLMCAR";1
"FGBTLMHGM";0
"FGDC10RWR";0
"FGEFLEMLTDBPB";0
"FGEILEW1HSRMHCB";0
"FGEILEW2HSRMVNT";1
"FGEILTASHHSRMVNT";1
"FGEILTEW3HSMR";0
"FGEMJ2ASHALMVNT";1
"FGEOS2ALRVSB";1
"FGEOS2ASHMSBB";1
"FGEOS2EW1RMHCB";1
"FGEOS2FMRNBG";1
"FGEOS2FMRRKG";1
"FGEOSDUEW2RMVNT";1
"FGEOSDUEW3EOB";0
"FGEOSDUEW4RMMNF";0
"FGFLFMVV";0
"FGJB100BAHWB";1
"FGJB100MBAHSBB";1
"FGJB100MBAHVNT";1
"FGJB100MBAHVSBB";1
"FGJB100MBAHVVNT";1
"FGJB100RAL3TS";1
"FGJB100RALBK";1
"FGJB100RALV3TS";1
"FGJB100RALVBK";1
"FGJFLFTPBK";0
"FGJIL2ASHMOWB";1
"FGJIL2DUEW2RKNB";0
"FGJIL3ASHDE664OPOG";1
"FGJIL3ASHDE664ROPB";1
"FGJIL73ASHDEROPB";1
"FGJMJ2ALRAZM";1
"FGJMJ2ALRBK";0
"FGJMJ3ASHDEMOPB";1
"FGJMJ3ASHDEMOPOG";1
"FGJMJ52ALRAZM";1
"FGJMJ53ASHDEMOPB";1
"FGJMJ53ASHDEMOPBL";1
"FGJMJ53ASHDEMOPOG";1
"FGJMJASHMSBB";0
"FGJMJASHMVNT";0
"FGJMP2ALRVWH";1
"FGJMP2BASHM";1
"FGJMY3ASHEGGM";1
"FGJMY3ASHEOPB";1
"FGJMY3MHDLEMBK";1
"FGJMY3MHEW1DLEABF";1
"FGJMY73ASHEOPB";1
"FGJOS2TDEW1EDMT";0
"FGJOS2TDMMBU";1
"FGJOS2TDMSP";1
"FGJOSDUEW2RKNB";0
"FGJOSFMRTR";0
"FGLC10RBK68";0
"FGLC10RMPBK";0
"FGLC20EMHBK";0
"FGLS10RFMFCB";0
"FGLS10RMPMBK";1
"FGLS11RMPAG";1
"FGLS20GFCBQ";0
"FGLS30RBFVV";0
"FGLS30WRMS";0
"FGMFAFPJB";0
"FGMFAHHJB";1
"FGMSAHPCBK";0
"FGMSAHPCH";0
"FGMSAHPCWRMS";0
"FGPB100MAHVNT";0
"FGPB100RAL3TS";0
"FGPB100RALBK";0
