id,release,ccgart,ccgartdot,marke,ccgbel1,availableQuantity
38487418,,231648,231.648,GEWA,Gig Bag pro Marching PREMIUM,9
38487419,,231700,231.700,GEWA,Gig Bag hardware PREMIUM,73
38487420,,231710,231.710,GEWA,Gig Bag hardware PREMIUM,71
38487421,,231760,231.760,GEWA,Gig Bag pro double-pedál PREMIUM,23
38487422,,231770,231.770,GEWA,Gig Bag pro Bongo PREMIUM,42
38487423,,231790,231.790,GEWA,Gig Bag pro Cajon PREMIUM,47
38487424,,231795,231.795,GEWA,Gig Bag pro Cajon PREMIUM,39
38487425,,231810,231.810,GEWA,Gig Bag pro Conga PREMIUM,40
38487426,,231820,231.820,GEWA,Gig Bag pro Conga PREMIUM,28
38487427,,231850,231.850,GEWA,Gig Bag pro Djembe PREMIUM,35
38487428,,231860,231.860,GEWA,Gig Bag pro Djembe PREMIUM,48
38487429,,231870,231.870,GEWA,Gig Bag pro Djembe PREMIUM,21
38487430,,231905,231.905,GEWA,Drum batoh na záda,37
38487431,,232100,232.100,GEWA,Taška na paličky SPS,13
38487432,,232110,232.110,GEWA,Taška na paličky SPS,34
38487433,,232200,232.200,GEWA,Taška pro činely SPS,6
38487434,,232210,232.210,GEWA,Taška pro činely SPS,53
38487435,,232240,232.240,GEWA,Taška pro činely SPS,53
38487436,,232300,232.300,GEWA,Gig Bag pro Snare SPS,26
38487437,,232310,232.310,GEWA,Gig Bag pro Snare SPS,32
38487438,,232320,232.320,GEWA,Gig Bag pro Snare SPS,10
38487439,,232330,232.330,GEWA,Gig Bag pro Snare SPS,63
38487440,,232340,232.340,GEWA,Gig Bag pro Snare SPS,110
38487441,,232350,232.350,GEWA,Gig Bag pro Snare SPS,26
38487442,,232395,232.395,GEWA,Gig Bag pro Tom Tom SPS,14
38487443,,232400,232.400,GEWA,Gig Bag pro Tom Tom SPS,43
38487444,,232402,232.402,GEWA,Gig Bag pro Tom Tom SPS,21
38487445,,232403,232.403,GEWA,Gig Bag pro Tom Tom SPS,12
38487446,,232405,232.405,GEWA,Gig Bag pro Tom Tom SPS,25
38487447,,232410,232.410,GEWA,Gig Bag pro Tom Tom SPS,25
38487448,,232415,232.415,GEWA,Gig Bag pro Tom Tom SPS,14
38487449,,232417,232.417,GEWA,Gig Bag pro Tom Tom SPS,18
38487450,,232420,232.420,GEWA,Gig Bag pro Tom Tom SPS,21
38487451,,232425,232.425,GEWA,Gig Bag pro Tom Tom SPS,15
38487452,,232430,232.430,GEWA,Gig Bag pro Tom Tom SPS,13
38487453,,232435,232.435,GEWA,Gig Bag pro Tom Tom SPS,37
38487454,,232440,232.440,GEWA,Gig Bag pro Tom Tom SPS,33
38487455,,232445,232.445,GEWA,Gig Bag pro Tom Tom SPS,25
38487456,,232450,232.450,GEWA,Gig Bag pro Tom Tom SPS,35
38487457,,232455,232.455,GEWA,Gig Bag pro Tom Tom SPS,3
38487458,,232460,232.460,GEWA,Gig Bag pro Tom Tom SPS,18
38487459,,232495,232.495,GEWA,Gig Bag pro Bass drum SPS,19
38487460,,232500,232.500,GEWA,Gig Bag pro Bass drum SPS,7
38487461,,232503,232.503,GEWA,Gig Bag pro Bass drum SPS,34
38487462,,232505,232.505,GEWA,Gig Bag pro Bass drum SPS,2
38487463,,232510,232.510,GEWA,Gig Bag pro Bass drum SPS,10
38487464,,232515,232.515,GEWA,Gig Bag pro Bass drum SPS,16
38487465,,232517,232.517,GEWA,Gig Bag pro Bass drum SPS,36
38487466,,232520,232.520,GEWA,Gig Bag pro Bass drum SPS,26
38487467,,232525,232.525,GEWA,Gig Bag pro Bass drum SPS,20
38487468,,232529,232.529,GEWA,Gig Bag pro Bass drum SPS,29
38487469,,232530,232.530,GEWA,Gig Bag pro Bass drum SPS,10
38487470,,232535,232.535,GEWA,Gig Bag pro Bass drum SPS,4
38487471,,232560,232.560,GEWA,Gig Bag pro woofer SPS,37
38487472,,232570,232.570,GEWA,Gig Bag pro woofer SPS,19
38487473,,232600,232.600,GEWA,Gig Bag sada SPS,23
38487474,,232605,232.605,GEWA,Gig Bag sada SPS,16
38487475,,232610,232.610,GEWA,Gig Bag sada SPS,15
38487476,,232620,232.620,GEWA,Gig Bag sada SPS,15
38487477,,232690,232.690,GEWA,Hardware trolley SPS,27
38487478,,232700,232.700,GEWA,Hardware trolley SPS,34
38487479,,232710,232.710,GEWA,Hardware trolley SPS,64
38487480,,232750,232.750,GEWA,Gig Bag pro double-pedál SPS,14
