id,release,ccgart,ccgartdot,marke,ccgbel1,availableQuantity
39747322,,407024,407.024,Despiau,Kobylka na cello Superieur,0
39747323,,407025,407.025,Despiau,Kobylka na cello Superieur,5
39747324,,407101,407.101,Teller,Kobylka na cello Standard,0
39747325,,407102,407.102,Teller,Kobylka na cello Standard,0
39747326,,407103,407.103,Teller,Kobylka na cello Standard,20
39747327,,407104,407.104,Teller,Kobylka na cello Standard,26
39747328,,407105,407.105,Teller,Kobylka na cello Standard,0
39747329,,407107,407.107,Teller,Kobylka na cello Standard,66
39747330,,407141,407.141,Teller,Kobylka na cello,5
39747331,,407142,407.142,Teller,Kobylka na cello,1
39747332,,407143,407.143,Teller,Kobylka na cello,0
39747333,,407144,407.144,Teller,Kobylka na cello,7
39747334,,407145,407.145,Teller,Kobylka na cello,2
39747335,,407401,407.401,Aubert,Kobylka na cello Kobylka pro houslaře,33
39747336,,407402,407.402,Aubert,Kobylka na cello Kobylka pro houslaře,3
39747337,,407403,407.403,Aubert,Kobylka na cello Kobylka pro houslaře,8
39747338,,407404,407.404,Aubert,Kobylka na cello Kobylka pro houslaře,4
39747339,,407410,407.410,Aubert,Kobylka na cello Kobylka pro houslaře,20
39747340,,407450,407.450,Despiau,Kobylka na cello,25
39747341,,407452,407.452,Despiau,Kobylka na cello,5
39747342,,407454,407.454,Despiau,Kobylka na cello,13
39747343,,407456,407.456,Despiau,Kobylka na cello,5
39747344,,407520,407.520,Teller,Kobylka na cello,52
39747345,,407525,407.525,Teller,Kobylka na cello,9
39747346,,407601,407.601,Aubert,Kobylka na cello,1
39747347,,407604,407.604,Aubert,Kobylka na cello,13
39747348,,407608,407.608,Aubert,Kobylka na cello,16
39747349,,407609,407.609,Aubert,Kobylka na cello,14
39747350,,407748,407.748,GEWA,Kobylka na cello Modell Sacconi,1
39747351,,407749,407.749,GEWA,Kobylka na cello Modell Sacconi,15
39747352,,407750,407.750,GEWA,Kobylka na cello Modell Sacconi,0
39747353,,407751,407.751,GEWA,Kobylka na cello Modell Sacconi,2
39747354,,407754,407.754,GEWA,Kobylka na cello Modell Sacconi,1
39747355,,407758,407.758,GEWA,Kobylka na cello Modell Sacconi,2
39747356,,407760,407.760,Despiau,Kobylka na cello,3
39747357,,407762,407.762,Despiau,Kobylka na cello,45
39747358,,407764,407.764,Despiau,Kobylka na cello,41
39747359,,407766,407.766,Despiau,Kobylka na cello,16
39747360,,407767,407.767,Despiau,Kobylka na cello Superieur,8
39747361,,407768,407.768,Despiau,Kobylka na cello Superieur,69
39747362,,407769,407.769,Despiau,Kobylka na cello Superieur,2
39747363,,407770001,407.770.001,Despiau,Kobylka na cello Baroque,2
39747364,,407770002,407.770.002,Despiau,Kobylka na cello Baroque,1
39747365,,407770003,407.770.003,Despiau,Kobylka na cello Baroque,5
39747366,,407771,407.771,Aubert,Kobylka na cello De Luxe,2
39747367,,407774,407.774,Aubert,Kobylka na cello De Luxe,21
39747368,,407778,407.778,Aubert,Kobylka na cello De Luxe,50
39747369,,407779,407.779,Aubert,Kobylka na cello De Luxe,15
39747370,,407801,407.801,Teller,Kobylka na cello Standard,21
39747371,,407802,407.802,Teller,Kobylka na cello Standard,0
39747372,,407803,407.803,Teller,Kobylka na cello Standard,0
39747373,,407902,407.902,Aubert,Kobylka na cello,4
39747374,,407905,407.905,Aubert,Kobylka na cello,9
39747375,,407908,407.908,Aubert,Kobylka na cello,5
39747376,,408021,408.021,Despiau,Kobylka pro kontrabas Superieur,18
39747377,,408021001,408.021.001,Despiau,Kobylka pro kontrabas Planet D,6
39747378,,408022,408.022,Despiau,Kobylka pro kontrabas Superieur,33
39747379,,408022001,408.022.001,Despiau,Kobylka pro kontrabas Planet D,15
39747380,,408023,408.023,Despiau,Kobylka pro kontrabas Superieur,5
39747381,,408023001,408.023.001,Despiau,Kobylka pro kontrabas Planet D,5
39747382,,408024,408.024,Despiau,Kobylka pro kontrabas Superieur,7
39747383,,408024001,408.024.001,Despiau,Kobylka pro kontrabas Planet D,3
39747384,,408025,408.025,Despiau,Kobylka pro kontrabas Superieur,5
39747385,,408025001,408.025.001,Despiau,Kobylka pro kontrabas Planet D,3
39747386,,408090,408.090,Despiau,Kobylka pro kontrabas,23
39747387,,408090001,408.090.001,Despiau,Kobylka pro kontrabas Planet C,5
39747388,,408092,408.092,Despiau,Kobylka pro kontrabas,24
39747389,,408092001,408.092.001,Despiau,Kobylka pro kontrabas Planet C,6
39747390,,408093,408.093,Despiau,Kobylka pro kontrabas,2
39747391,,408093001,408.093.001,Despiau,Kobylka pro kontrabas Planet C,2
39747392,,408094,408.094,Despiau,Kobylka pro kontrabas,7
39747393,,408094001,408.094.001,Despiau,Kobylka pro kontrabas Planet C,2
39747394,,408095,408.095,Despiau,Kobylka pro kontrabas,1
39747395,,408095001,408.095.001,Despiau,Kobylka pro kontrabas Planet C,2
39747396,,408100,408.100,Aubert,Kobylka pro kontrabas,15
39747397,,408101,408.101,Aubert,Kobylka pro kontrabas,0
39747398,,408102,408.102,Aubert,Kobylka pro kontrabas,0
39747399,,408103,408.103,Aubert,Kobylka pro kontrabas,11
39747400,,408105,408.105,Aubert,Kobylka pro kontrabas,5
39747401,,408106,408.106,Aubert,Kobylka pro kontrabas,3
39747402,,408200,408.200,Teller,Kobylka pro kontrabas Model Tourte,4
39747403,,408201,408.201,Teller,Kobylka pro kontrabas Model Tourte,2
39747404,,408202,408.202,Teller,Kobylka pro kontrabas Model Tourte,3
39747405,,408300,408.300,Aubert,Kobylka pro kontrabas Kobylka pro houslaře,8
39747406,,408301,408.301,Aubert,Kobylka pro kontrabas Kobylka pro houslaře,8
39747407,,408302,408.302,Aubert,Kobylka pro kontrabas Kobylka pro houslaře,5
39747408,,408397,408.397,Despiau,Kobylka pro kontrabas Planet C,2
39747409,,408398,408.398,Despiau,Kobylka pro kontrabas Planet C,2
39747410,,408399,408.399,Despiau,Kobylka pro kontrabas Planet C,2
39747411,,408400,408.400,Despiau,Kobylka pro kontrabas,6
39747412,,408401,408.401,Despiau,Kobylka pro kontrabas,5
39747413,,408402,408.402,Despiau,Kobylka pro kontrabas,3
39747414,,408407,408.407,Despiau,Kobylka pro kontrabas Planet B belgický model,2
39747415,,408408,408.408,Despiau,Kobylka pro kontrabas Planet B belgický model,2
39747416,,408409,408.409,Despiau,Kobylka pro kontrabas Planet B belgický model,2
39747417,,408410,408.410,Despiau,Kobylka pro kontrabas Belgický model,4
39747418,,408412,408.412,Despiau,Kobylka pro kontrabas Belgický model,4
39747419,,408413,408.413,Despiau,Kobylka pro kontrabas Belgický model,2
39747420,,408415,408.415,Teller,Kobylka pro kontrabas Belgický model,0
39747421,,408416,408.416,Teller,Kobylka pro kontrabas Belgický model,0
39747422,,408417,408.417,Teller,Kobylka pro kontrabas Belgický model,4
39747423,,408418,408.418,Teller,Kobylka pro kontrabas Belgický model,2
39747424,,408420,408.420,Teller,Kobylka pro kontrabas Bubenreuth,3
39747425,,408421,408.421,Teller,Kobylka pro kontrabas Bubenreuth,2
39747426,,408422,408.422,Teller,Kobylka pro kontrabas Bubenreuth,1
39747427,,408423,408.423,Teller,Kobylka pro kontrabas Bubenreuth,3
39747428,,408472,408.472,Aubert,Kobylka pro kontrabas,1
39747429,,408475,408.475,Aubert,Kobylka pro kontrabas,0
39747430,,408480,408.480,Despiau,Kobylka pro kontrabas Výškově stavitelné,5
